wavenumber,P88812Cl,P88812NO3,NaNO3
3073,85.9,91.87,107.3
3072,85.93,91.87,107.29
3071,85.94,91.89,107.32
3070,85.93,91.87,107.3
3069,85.96,91.89,107.27
3068,85.95,91.88,107.29
3067,85.94,91.87,107.29
3066,85.98,91.9,107.31
3065,86,91.89,107.26
3064,85.95,91.86,107.31
3063,86,91.89,107.34
3062,85.98,91.86,107.32
3061,85.98,91.89,107.31
3060,85.99,91.88,107.34
3059,86,91.88,107.3
3058,85.99,91.88,107.3
3057,86.02,91.89,107.31
3056,86.03,91.87,107.28
3055,86.04,91.88,107.34
3054,86.05,91.87,107.35
3053,86.06,91.87,107.34
3052,86.05,91.87,107.31
3051,86.05,91.85,107.33
3050,86.06,91.87,107.35
3049,86.07,91.86,107.36
3048,86.05,91.84,107.33
3047,86.08,91.86,107.32
3046,86.08,91.84,107.32
3045,86.09,91.86,107.33
3044,86.1,91.87,107.31
3043,86.11,91.87,107.32
3042,86.1,91.87,107.34
3041,86.13,91.88,107.36
3040,86.11,91.88,107.35
3039,86.11,91.89,107.37
3038,86.11,91.89,107.34
3037,86.14,91.92,107.31
3036,86.17,91.93,107.3
3035,86.16,91.91,107.34
3034,86.16,91.93,107.34
3033,86.18,91.92,107.34
3032,86.18,91.95,107.33
3031,86.19,91.93,107.34
3030,86.18,91.96,107.36
3029,86.18,91.94,107.37
3028,86.18,91.92,107.38
3027,86.18,91.92,107.35
3026,86.24,91.96,107.34
3025,86.23,91.96,107.38
3024,86.23,91.96,107.38
3023,86.22,91.96,107.38
3022,86.24,91.96,107.37
3021,86.26,91.97,107.35
3020,86.24,91.97,107.4
3019,86.24,91.98,107.38
3018,86.26,91.97,107.37
3017,86.25,91.98,107.34
3016,86.3,92.02,107.36
3015,86.31,92,107.36
3014,86.27,91.99,107.38
3013,86.31,91.99,107.34
3012,86.3,92.01,107.34
3011,86.3,91.99,107.4
3010,86.3,91.99,107.41
3009,86.28,91.99,107.4
3008,86.29,91.99,107.41
3007,86.28,91.98,107.38
3006,86.29,91.97,107.4
3005,86.32,91.98,107.4
3004,86.32,91.97,107.4
3003,86.33,91.96,107.42
3002,86.33,91.94,107.42
3001,86.32,91.92,107.42
3000,86.33,91.93,107.4
2999,86.32,91.94,107.37
2998,86.31,91.93,107.43
2997,86.33,91.9,107.43
2996,86.32,91.91,107.43
2995,86.31,91.86,107.39
2994,86.3,91.85,107.38
2993,86.24,91.8,107.41
2992,86.28,91.81,107.45
2991,86.25,91.74,107.45
2990,86.23,91.72,107.43
2989,86.19,91.67,107.42
2988,86.18,91.62,107.42
2987,86.14,91.55,107.41
2986,86.11,91.51,107.44
2985,86.05,91.42,107.42
2984,85.98,91.34,107.43
2983,85.92,91.25,107.43
2982,85.84,91.14,107.42
2981,85.73,90.98,107.42
2980,85.62,90.83,107.45
2979,85.47,90.68,107.45
2978,85.31,90.48,107.45
2977,85.12,90.23,107.45
2976,84.89,89.95,107.42
2975,84.6,89.63,107.45
2974,84.23,89.23,107.45
2973,83.84,88.78,107.45
2972,83.37,88.26,107.48
2971,82.84,87.68,107.49
2970,82.22,87.04,107.48
2969,81.57,86.32,107.47
2968,80.79,85.54,107.49
2967,80,84.68,107.51
2966,79.16,83.83,107.5
2965,78.29,82.92,107.49
2964,77.44,82.06,107.49
2963,76.62,81.21,107.47
2962,75.83,80.4,107.47
2961,75.08,79.62,107.51
2960,74.38,78.9,107.51
2959,73.79,78.28,107.49
2958,73.29,77.77,107.5
2957,72.91,77.38,107.49
2956,72.65,77.1,107.48
2955,72.55,76.97,107.46
2954,72.63,77.03,107.45
2953,72.87,77.29,107.48
2952,73.24,77.59,107.51
2951,73.64,77.94,107.5
2950,74.03,78.26,107.5
2949,74.3,78.45,107.47
2948,74.46,78.52,107.46
2947,74.55,78.52,107.5
2946,74.43,78.31,107.46
2945,74.18,77.92,107.48
2944,73.8,77.43,107.49
2943,73.28,76.82,107.51
2942,72.64,76.02,107.51
2941,71.88,75.12,107.53
2940,71.02,74.1,107.55
2939,70.06,72.99,107.52
2938,69,71.76,107.53
2937,67.9,70.52,107.55
2936,66.73,69.21,107.54
2935,65.51,67.87,107.57
2934,64.25,66.55,107.57
2933,63.02,65.22,107.54
2932,61.76,63.91,107.56
2931,60.55,62.71,107.54
2930,59.39,61.64,107.57
2929,58.33,60.64,107.59
2928,57.29,59.72,107.56
2927,56.35,58.95,107.58
2926,55.56,58.35,107.58
2925,54.85,57.86,107.58
2924,54.34,57.61,107.57
2923,54.03,57.54,107.58
2922,53.95,57.67,107.58
2921,54.03,57.97,107.56
2920,54.31,58.44,107.55
2919,54.8,59.11,107.57
2918,55.42,59.86,107.55
2917,56.14,60.71,107.56
2916,56.97,61.59,107.58
2915,57.8,62.47,107.56
2914,58.68,63.38,107.55
2913,59.55,64.28,107.58
2912,60.37,65.07,107.57
2911,61.13,65.81,107.59
2910,61.88,66.54,107.57
2909,62.57,67.17,107.59
2908,63.21,67.75,107.58
2907,63.78,68.3,107.56
2906,64.32,68.8,107.56
2905,64.83,69.26,107.58
2904,65.33,69.74,107.59
2903,65.74,70.16,107.58
2902,66.15,70.62,107.58
2901,66.57,71.05,107.58
2900,66.92,71.47,107.59
2899,67.28,71.91,107.6
2898,67.6,72.34,107.58
2897,67.93,72.76,107.58
2896,68.25,73.26,107.6
2895,68.56,73.72,107.6
2894,68.84,74.17,107.59
2893,69.16,74.68,107.59
2892,69.5,75.19,107.58
2891,69.82,75.7,107.58
2890,70.11,76.16,107.61
2889,70.44,76.67,107.57
2888,70.73,77.12,107.59
2887,71,77.53,107.59
2886,71.25,77.93,107.6
2885,71.48,78.27,107.61
2884,71.69,78.57,107.59
2883,71.85,78.82,107.6
2882,71.95,78.98,107.58
2881,71.99,79.04,107.6
2880,71.96,79.01,107.58
2879,71.82,78.83,107.61
2878,71.58,78.53,107.59
2877,71.23,78.11,107.6
2876,70.76,77.57,107.58
2875,70.24,76.98,107.61
2874,69.8,76.47,107.6
2873,69.45,76.06,107.57
2872,69.2,75.8,107.6
2871,69.12,75.7,107.59
2870,69.12,75.7,107.56
2869,69.14,75.7,107.57
2868,69.1,75.64,107.59
2867,68.96,75.44,107.58
2866,68.69,75.1,107.57
2865,68.23,74.56,107.56
2864,67.61,73.84,107.58
2863,66.82,72.91,107.56
2862,65.91,71.88,107.55
2861,64.89,70.76,107.53
2860,63.9,69.67,107.51
2859,62.89,68.51,107.48
2858,61.87,67.45,107.47
2857,61,66.52,107.45
2856,60.23,65.77,107.44
2855,59.65,65.25,107.43
2854,59.31,65,107.41
2853,59.26,65.04,107.44
2852,59.44,65.36,107.4
2851,59.91,65.99,107.41
2850,60.55,66.83,107.43
2849,61.42,67.83,107.46
2848,62.47,69.05,107.45
2847,63.62,70.34,107.45
2846,64.81,71.65,107.47
2845,65.99,72.99,107.47
2844,67.22,74.28,107.45
2843,68.39,75.52,107.48
2842,69.46,76.65,107.5
2841,70.43,77.66,107.49
2840,71.33,78.56,107.5
2839,72.14,79.4,107.5
2838,72.9,80.12,107.5
2837,73.53,80.72,107.52
2836,74.06,81.25,107.52
2835,74.54,81.73,107.53
2834,74.98,82.13,107.53
2833,75.4,82.53,107.52
2832,75.73,82.85,107.53
2831,76.06,83.17,107.52
2830,76.33,83.41,107.52
2829,76.58,83.64,107.52
2828,76.82,83.86,107.56
2827,77.04,84.07,107.53
2826,77.23,84.26,107.53
2825,77.43,84.44,107.52
2824,77.59,84.61,107.54
2823,77.77,84.76,107.55
2822,77.91,84.91,107.54
2821,78.05,85.06,107.57
2820,78.17,85.16,107.57
2819,78.29,85.3,107.55
2818,78.4,85.43,107.55
2817,78.5,85.54,107.54
2816,78.58,85.64,107.56
2815,78.67,85.74,107.58
2814,78.76,85.82,107.57
2813,78.84,85.93,107.56
2812,78.89,86.04,107.57
2811,78.94,86.13,107.6
2810,78.99,86.2,107.57
2809,79.07,86.28,107.58
2808,79.1,86.36,107.58
2807,79.16,86.45,107.59
2806,79.17,86.52,107.57
2805,79.23,86.6,107.6
2804,79.29,86.69,107.58
2803,79.35,86.76,107.58
2802,79.39,86.83,107.59
2801,79.43,86.88,107.58
2800,79.48,86.98,107.6
2799,79.54,87.05,107.59
2798,79.59,87.08,107.62
2797,79.66,87.17,107.6
2796,79.73,87.22,107.6
2795,79.82,87.29,107.6
2794,79.89,87.36,107.62
2793,79.97,87.41,107.63
2792,80.02,87.46,107.62
2791,80.1,87.51,107.6
2790,80.18,87.59,107.63
2789,80.24,87.63,107.62
2788,80.33,87.67,107.59
2787,80.43,87.72,107.6
2786,80.48,87.77,107.61
2785,80.55,87.8,107.62
2784,80.62,87.86,107.63
2783,80.72,87.9,107.63
2782,80.78,87.95,107.61
2781,80.85,87.99,107.64
2780,80.95,88.04,107.61
2779,81,88.07,107.63
2778,81.09,88.11,107.65
2777,81.13,88.15,107.64
2776,81.23,88.22,107.64
2775,81.3,88.24,107.6
2774,81.34,88.25,107.62
2773,81.4,88.27,107.6
2772,81.45,88.31,107.59
2771,81.51,88.33,107.56
2770,81.56,88.38,107.56
2769,81.61,88.42,107.56
2768,81.67,88.44,107.54
2767,81.7,88.45,107.56
2766,81.73,88.46,107.53
2765,81.78,88.48,107.51
2764,81.82,88.51,107.55
2763,81.85,88.52,107.54
2762,81.9,88.58,107.53
2761,81.91,88.57,107.55
2760,81.95,88.59,107.55
2759,81.99,88.61,107.54
2758,82.01,88.62,107.55
2757,82.05,88.67,107.57
2756,82.05,88.64,107.58
2755,82.1,88.66,107.57
2754,82.14,88.69,107.58
2753,82.14,88.7,107.57
2752,82.17,88.74,107.57
2751,82.18,88.74,107.61
2750,82.21,88.72,107.58
2749,82.26,88.78,107.6
2748,82.26,88.78,107.61
2747,82.27,88.75,107.58
2746,82.28,88.78,107.6
2745,82.3,88.77,107.61
2744,82.32,88.79,107.6
2743,82.32,88.79,107.65
2742,82.34,88.79,107.65
2741,82.36,88.81,107.65
2740,82.36,88.81,107.67
2739,82.37,88.82,107.69
2738,82.37,88.84,107.68
2737,82.37,88.8,107.69
2736,82.39,88.79,107.71
2735,82.38,88.79,107.73
2734,82.38,88.79,107.73
2733,82.39,88.8,107.76
2732,82.39,88.8,107.77
2731,82.39,88.77,107.77
2730,82.4,88.79,107.77
2729,82.42,88.82,107.79
2728,82.46,88.87,107.83
2727,82.46,88.87,107.83
2726,82.48,88.83,107.81
2725,82.49,88.84,107.82
2724,82.53,88.89,107.86
2723,82.55,88.91,107.84
2722,82.54,88.88,107.84
2721,82.57,88.93,107.84
2720,82.59,88.94,107.86
2719,82.61,88.93,107.87
2718,82.64,88.98,107.85
2717,82.63,88.98,107.85
2716,82.63,88.96,107.85
2715,82.67,88.98,107.87
2714,82.7,89.01,107.87
2713,82.68,89.02,107.87
2712,82.74,89.04,107.86
2711,82.73,89.05,107.88
2710,82.75,89.03,107.89
2709,82.77,89.06,107.88
2708,82.76,89.07,107.87
2707,82.8,89.1,107.87
2706,82.82,89.1,107.89
2705,82.82,89.09,107.89
2704,82.81,89.08,107.92
2703,82.83,89.12,107.89
2702,82.83,89.12,107.9
2701,82.82,89.09,107.9
2700,82.86,89.12,107.9
2699,82.87,89.12,107.9
2698,82.85,89.13,107.91
2697,82.87,89.12,107.9
2696,82.87,89.11,107.91
2695,82.86,89.1,107.92
2694,82.86,89.12,107.93
2693,82.85,89.12,107.91
2692,82.83,89.12,107.9
2691,82.86,89.11,107.93
2690,82.85,89.12,107.93
2689,82.84,89.13,107.92
2688,82.84,89.1,107.92
2687,82.84,89.1,107.94
2686,82.82,89.07,107.97
2685,82.82,89.1,107.94
2684,82.84,89.1,107.95
2683,82.84,89.14,107.95
2682,82.84,89.15,107.97
2681,82.84,89.1,107.95
2680,82.85,89.11,107.94
2679,82.87,89.15,107.94
2678,82.87,89.16,107.96
2677,82.86,89.11,107.94
2676,82.87,89.13,107.97
2675,82.89,89.16,107.98
2674,82.91,89.17,107.96
2673,82.88,89.13,107.94
2672,82.91,89.16,107.97
2671,82.91,89.16,107.99
2670,82.91,89.18,107.99
2669,82.94,89.18,107.96
2668,82.96,89.21,107.96
2667,82.93,89.21,107.99
2666,82.96,89.23,107.97
2665,82.99,89.25,107.98
2664,82.99,89.23,107.98
2663,83.02,89.26,107.98
2662,83.03,89.29,107.99
2661,83.02,89.28,107.98
2660,83.07,89.32,107.97
2659,83.07,89.32,107.99
2658,83.08,89.33,108.01
2657,83.09,89.34,107.99
2656,83.1,89.37,107.98
2655,83.13,89.38,107.99
2654,83.16,89.4,108
2653,83.17,89.41,107.99
2652,83.15,89.42,107.97
2651,83.19,89.43,107.96
2650,83.18,89.44,108
2649,83.19,89.44,107.99
2648,83.22,89.48,107.97
2647,83.22,89.48,107.98
2646,83.23,89.49,107.97
2645,83.26,89.5,107.98
2644,83.25,89.52,107.97
2643,83.27,89.52,107.98
2642,83.26,89.52,107.96
2641,83.26,89.53,107.97
2640,83.29,89.55,107.96
2639,83.31,89.55,108.03
2638,83.28,89.53,107.98
2637,83.29,89.56,107.96
2636,83.35,89.61,107.98
2635,83.34,89.61,107.99
2634,83.33,89.59,107.96
2633,83.34,89.6,107.95
2632,83.36,89.61,107.95
2631,83.35,89.61,107.98
2630,83.37,89.66,107.96
2629,83.42,89.66,107.95
2628,83.42,89.66,107.97
2627,83.42,89.7,107.96
2626,83.45,89.73,107.99
2625,83.46,89.71,107.96
2624,83.47,89.72,107.97
2623,83.49,89.75,107.93
2622,83.5,89.76,107.96
2621,83.5,89.74,107.96
2620,83.51,89.74,107.95
2619,83.51,89.75,108
2618,83.53,89.79,107.98
2617,83.55,89.79,107.95
2616,83.52,89.79,107.94
2615,83.54,89.78,107.97
2614,83.55,89.78,107.97
2613,83.55,89.83,107.97
2612,83.54,89.84,107.96
2611,83.57,89.84,107.96
2610,83.62,89.82,107.97
2609,83.6,89.8,107.97
2608,83.58,89.86,107.99
2607,83.57,89.85,108.01
2606,83.62,89.84,107.99
2605,83.63,89.85,107.95
2604,83.61,89.88,107.97
2603,83.63,89.9,107.95
2602,83.68,89.9,107.98
2601,83.64,89.9,107.97
2600,83.7,89.89,108.02
2599,83.67,89.89,107.99
2598,83.69,89.95,107.98
2597,83.67,89.9,107.98
2596,83.69,89.93,107.96
2595,83.72,89.98,108
2594,83.71,89.95,108.01
2593,83.74,89.97,108.01
2592,83.78,89.98,108
2591,83.73,89.96,107.99
2590,83.74,89.97,107.98
2589,83.76,90,108.02
2588,83.8,89.99,107.98
2587,83.76,90.01,108
2586,83.79,90.04,107.98
2585,83.75,89.98,108.04
2584,83.76,90,107.99
2583,83.8,90.03,107.99
2582,83.81,90.04,108.05
2581,83.81,89.93,107.99
2580,83.79,89.96,107.98
2579,83.8,90,108.01
2578,83.78,90.02,108
2577,83.8,90.06,108.02
2576,83.82,90.07,107.92
2575,83.85,90.09,108.02
2574,83.85,90.05,108.07
2573,83.81,90.08,108
2572,83.89,90.07,107.98
2571,83.91,90.13,107.97
2570,83.9,90.12,108.03
2569,83.88,90.15,108.03
2568,83.86,90.12,108.06
2567,83.91,90.12,108.02
2566,83.91,90.09,108.04
2565,83.96,90.1,108.07
2564,83.89,90.14,108.05
2563,83.85,90.1,108.03
2562,83.92,90.16,108.03
2561,83.93,90.18,108.05
2560,83.95,90.15,108.04
2559,83.96,90.2,108.03
2558,83.96,90.2,108.05
2557,83.97,90.22,108.04
2556,83.98,90.18,108.05
2555,83.99,90.18,107.98
2554,83.98,90.18,108.05
2553,83.94,90.18,108.07
2552,83.97,90.15,108.09
2551,83.96,90.16,108.07
2550,83.99,90.21,108.08
2549,83.97,90.2,108.08
2548,83.98,90.23,108.08
2547,84.03,90.24,108.08
2546,84.03,90.2,108.05
2545,84.01,90.24,108.05
2544,84.01,90.21,108.07
2543,84.02,90.2,108.09
2542,84.04,90.27,108.05
2541,84.04,90.23,108.05
2540,84.03,90.26,108.07
2539,84,90.24,108.09
2538,84.04,90.22,108.03
2537,84.07,90.25,108.07
2536,84.01,90.23,108.05
2535,84.07,90.25,108.05
2534,84.02,90.23,108.1
2533,84.08,90.27,108.09
2532,84.03,90.23,108.06
2531,84.03,90.26,108.07
2530,84.02,90.26,108.04
2529,84.06,90.3,108.06
2528,84.11,90.31,108.04
2527,84.07,90.33,108.02
2526,84.06,90.34,108.03
2525,84.09,90.28,108.06
2524,84.09,90.32,108.07
2523,84.09,90.29,108.01
2522,84.11,90.27,108.01
2521,84.12,90.32,107.97
2520,84.07,90.29,108.03
2519,84.09,90.29,108
2518,84.16,90.35,107.98
2517,84.13,90.35,107.97
2516,84.13,90.34,108.03
2515,84.15,90.31,107.95
2514,84.16,90.35,107.96
2513,84.19,90.36,107.97
2512,84.14,90.34,108
2511,84.16,90.34,107.92
2510,84.14,90.37,107.91
2509,84.16,90.35,107.9
2508,84.18,90.36,107.93
2507,84.16,90.39,107.89
2506,84.2,90.36,107.89
2505,84.2,90.4,107.9
2504,84.19,90.39,107.87
2503,84.2,90.37,107.94
2502,84.24,90.38,107.87
2501,84.24,90.4,107.85
2500,84.22,90.44,107.87
2499,84.24,90.41,107.87
2498,84.24,90.38,107.85
2497,84.23,90.41,107.89
2496,84.2,90.37,107.88
2495,84.22,90.37,107.89
2494,84.26,90.38,107.88
2493,84.22,90.37,107.84
2492,84.2,90.4,107.86
2491,84.22,90.38,107.84
2490,84.24,90.38,107.85
2489,84.26,90.43,107.85
2488,84.28,90.46,107.89
2487,84.26,90.41,107.82
2486,84.3,90.46,107.86
2485,84.24,90.4,107.84
2484,84.21,90.37,107.86
2483,84.26,90.39,107.84
2482,84.26,90.4,107.87
2481,84.26,90.41,107.83
2480,84.27,90.41,107.85
2479,84.29,90.4,107.79
2478,84.31,90.45,107.78
2477,84.27,90.45,107.83
2476,84.25,90.44,107.8
2475,84.28,90.43,107.85
2474,84.3,90.45,107.87
2473,84.34,90.46,107.84
2472,84.3,90.44,107.87
2471,84.29,90.41,107.86
2470,84.28,90.4,107.88
2469,84.34,90.46,107.85
2468,84.34,90.46,107.9
2467,84.33,90.44,107.88
2466,84.33,90.42,107.87
2465,84.35,90.47,107.86
2464,84.33,90.46,107.85
2463,84.3,90.45,107.86
2462,84.32,90.44,107.85
2461,84.35,90.45,107.8
2460,84.37,90.47,107.79
2459,84.35,90.42,107.77
2458,84.36,90.43,107.72
2457,84.35,90.47,107.74
2456,84.36,90.46,107.67
2455,84.36,90.42,107.66
2454,84.37,90.48,107.59
2453,84.34,90.46,107.56
2452,84.38,90.47,107.52
2451,84.38,90.47,107.52
2450,84.38,90.42,107.45
2449,84.36,90.42,107.38
2448,84.34,90.47,107.37
2447,84.35,90.47,107.41
2446,84.44,90.48,107.4
2445,84.42,90.48,107.32
2444,84.39,90.5,107.31
2443,84.45,90.49,107.31
2442,84.38,90.47,107.29
2441,84.39,90.47,107.28
2440,84.41,90.44,107.26
2439,84.42,90.49,107.24
2438,84.44,90.51,107.26
2437,84.43,90.5,107.22
2436,84.41,90.5,107.19
2435,84.4,90.48,107.17
2434,84.45,90.5,107.16
2433,84.43,90.52,107.15
2432,84.41,90.52,107.11
2431,84.45,90.52,107.12
2430,84.45,90.49,107.12
2429,84.47,90.55,107.1
2428,84.46,90.51,107.1
2427,84.44,90.48,107.07
2426,84.48,90.5,107.09
2425,84.45,90.46,107.16
2424,84.44,90.49,107.24
2423,84.47,90.51,107.33
2422,84.43,90.45,107.44
2421,84.42,90.46,107.59
2420,84.48,90.52,107.68
2419,84.48,90.51,107.76
2418,84.48,90.52,107.82
2417,84.46,90.48,107.93
2416,84.47,90.45,107.99
2415,84.49,90.48,108.02
2414,84.49,90.45,108.06
2413,84.48,90.46,108.11
2412,84.48,90.5,108.12
2411,84.49,90.44,108.14
2410,84.51,90.44,108.16
2409,84.5,90.48,108.18
2408,84.45,90.41,108.2
2407,84.44,90.42,108.19
2406,84.49,90.45,108.21
2405,84.51,90.43,108.24
2404,84.48,90.38,108.23
2403,84.48,90.39,108.25
2402,84.48,90.41,108.24
2401,84.49,90.4,108.26
2400,84.52,90.38,108.3
2399,84.49,90.37,108.31
2398,84.5,90.36,108.34
2397,84.49,90.36,108.27
2396,84.5,90.36,108.31
2395,84.52,90.34,108.32
2394,84.47,90.31,108.33
2393,84.51,90.31,108.34
2392,84.51,90.31,108.38
2391,84.49,90.27,108.36
2390,84.47,90.27,108.34
2389,84.51,90.29,108.34
2388,84.51,90.29,108.37
2387,84.5,90.28,108.33
2386,84.48,90.27,108.35
2385,84.53,90.27,108.34
2384,84.52,90.29,108.33
2383,84.51,90.28,108.32
2382,84.52,90.26,108.34
2381,84.52,90.22,108.3
2380,84.53,90.24,108.35
2379,84.56,90.26,108.32
2378,84.52,90.21,108.27
2377,84.57,90.27,108.26
2376,84.52,90.22,108.23
2375,84.58,90.21,108.16
2374,84.57,90.26,108.17
2373,84.58,90.31,108.18
2372,84.54,90.33,108.11
2371,84.58,90.33,108.15
2370,84.55,90.46,108.36
2369,84.58,89.75,108.44
2368,84.57,90.11,108.32
2367,84.55,90.19,108.24
2366,84.45,90.21,108.19
2365,84.58,90.35,108.2
2364,84.52,90.2,108.37
2363,84.53,90.12,108.43
2362,84.49,90.1,108.32
2361,84.53,90.25,108.3
2360,84.5,90.23,108.3
2359,84.43,90.07,108.38
2358,84.47,90.14,108.22
2357,84.5,90.21,108.32
2356,84.5,90.16,108.34
2355,84.47,90.12,108.17
2354,84.52,90.21,108.27
2353,84.48,90.17,108.34
2352,84.43,90.1,108.29
2351,84.47,90.14,108.4
2350,84.5,90.13,108.43
2349,84.49,90.12,108.55
2348,84.49,90.17,108.65
2347,84.55,90.27,108.56
2346,84.5,90.17,108.56
2345,84.51,90.19,108.47
2344,84.57,90.35,108.4
2343,84.51,90.28,108.46
2342,84.52,90.28,108.44
2341,84.55,90.35,108.43
2340,84.52,90.28,108.41
2339,84.54,90.35,108.4
2338,84.52,90.37,108.41
2337,84.52,90.36,108.46
2336,84.59,90.43,108.33
2335,84.58,90.33,108.44
2334,84.53,90.41,108.35
2333,84.61,90.5,108.44
2332,84.56,90.45,108.31
2331,84.53,90.48,108.33
2330,84.57,90.39,108.32
2329,84.58,90.51,108.21
2328,84.61,90.46,108.34
2327,84.62,90.56,108.24
2326,84.64,90.47,108.3
2325,84.61,90.54,108.19
2324,84.65,90.54,108.32
2323,84.66,90.58,108.23
2322,84.65,90.53,108.28
2321,84.7,90.59,108.18
2320,84.67,90.56,108.29
2319,84.72,90.62,108.21
2318,84.69,90.58,108.3
2317,84.69,90.63,108.27
2316,84.66,90.57,108.3
2315,84.72,90.62,108.32
2314,84.68,90.58,108.37
2313,84.7,90.64,108.31
2312,84.66,90.6,108.36
2311,84.72,90.61,108.29
2310,84.71,90.59,108.41
2309,84.74,90.64,108.35
2308,84.69,90.63,108.46
2307,84.74,90.66,108.44
2306,84.75,90.65,108.47
2305,84.75,90.64,108.43
2304,84.75,90.66,108.54
2303,84.71,90.65,108.46
2302,84.74,90.64,108.52
2301,84.73,90.68,108.46
2300,84.71,90.6,108.55
2299,84.75,90.68,108.53
2298,84.77,90.7,108.55
2297,84.73,90.64,108.56
2296,84.76,90.63,108.56
2295,84.77,90.64,108.57
2294,84.77,90.68,108.56
2293,84.77,90.63,108.57
2292,84.76,90.64,108.58
2291,84.79,90.74,108.62
2290,84.81,90.71,108.59
2289,84.82,90.65,108.6
2288,84.79,90.71,108.62
2287,84.88,90.79,108.64
2286,84.8,90.64,108.6
2285,84.79,90.67,108.58
2284,84.81,90.69,108.57
2283,84.82,90.73,108.62
2282,84.79,90.69,108.62
2281,84.79,90.7,108.61
2280,84.82,90.7,108.66
2279,84.85,90.78,108.58
2278,84.79,90.71,108.6
2277,84.82,90.71,108.62
2276,84.85,90.74,108.62
2275,84.82,90.73,108.63
2274,84.85,90.7,108.68
2273,84.82,90.73,108.59
2272,84.78,90.72,108.63
2271,84.82,90.68,108.68
2270,84.89,90.77,108.65
2269,84.9,90.79,108.55
2268,84.84,90.7,108.61
2267,84.9,90.78,108.67
2266,84.9,90.74,108.68
2265,84.89,90.72,108.69
2264,84.85,90.69,108.72
2263,84.83,90.7,108.61
2262,84.87,90.83,108.62
2261,84.89,90.78,108.66
2260,84.89,90.77,108.65
2259,84.86,90.83,108.65
2258,84.87,90.79,108.7
2257,84.88,90.77,108.65
2256,84.89,90.85,108.62
2255,84.93,90.91,108.63
2254,84.87,90.84,108.69
2253,84.83,90.72,108.75
2252,84.91,90.81,108.7
2251,84.88,90.78,108.7
2250,84.93,90.74,108.73
2249,84.89,90.82,108.7
2248,84.91,90.8,108.67
2247,84.94,90.96,108.72
2246,84.84,90.8,108.68
2245,84.9,90.73,108.65
2244,84.85,90.81,108.7
2243,84.9,90.81,108.64
2242,84.9,90.76,108.58
2241,84.95,90.85,108.68
2240,84.98,90.91,108.72
2239,84.94,90.82,108.74
2238,84.9,90.82,108.72
2237,84.93,90.84,108.8
2236,84.98,90.83,108.7
2235,85.01,90.8,108.57
2234,85.07,90.86,108.83
2233,84.92,90.82,108.69
2232,84.99,90.93,108.68
2231,84.98,90.9,108.69
2230,84.9,90.9,108.8
2229,84.91,90.91,108.63
2228,84.93,90.85,108.71
2227,84.92,90.9,108.72
2226,84.91,90.93,108.82
2225,85.02,90.86,108.7
2224,85.02,90.87,108.77
2223,84.98,90.86,108.77
2222,84.94,90.9,108.83
2221,85.08,91.08,108.63
2220,84.93,90.89,108.77
2219,85.04,90.99,108.84
2218,85.03,90.87,108.8
2217,84.91,90.94,108.75
2216,84.92,90.97,108.8
2215,84.98,90.85,108.69
2214,85.12,90.95,108.62
2213,85.04,91,108.63
2212,84.99,90.97,108.77
2211,85.02,90.89,108.83
2210,84.99,90.9,108.76
2209,84.97,90.82,108.81
2208,85.07,90.93,108.76
2207,84.97,90.89,108.74
2206,85.02,90.84,108.8
2205,85.12,91.05,108.83
2204,85.06,90.84,108.67
2203,84.95,90.81,108.84
2202,85.01,90.93,108.96
2201,85.04,90.9,108.8
2200,85,90.86,108.8
2199,85.07,91.07,108.81
2198,85.14,90.88,108.73
2197,85.05,90.9,108.79
2196,85.11,91,108.84
2195,84.9,90.95,108.73
2194,84.98,90.9,108.73
2193,85.11,90.91,108.83
2192,85.1,91.01,108.77
2191,85.09,90.99,108.81
2190,85.19,91.05,108.82
2189,85.15,90.91,108.98
2188,85.09,90.94,108.79
2187,85.25,91.09,108.78
2186,84.97,91,108.94
2185,85.1,90.87,108.92
2184,85.14,91.04,109
2183,85.07,91.03,108.75
2182,85.02,90.92,108.72
2181,85.06,90.83,108.93
2180,84.99,90.85,108.71
2179,85.12,90.98,108.57
2178,85.1,90.93,108.93
2177,85.21,91.11,108.85
2176,85.21,90.96,108.97
2175,84.99,90.9,108.9
2174,84.96,90.94,108.8
2173,85.18,91.02,108.77
2172,85.23,91.09,108.78
2171,85.01,91.03,108.96
2170,85.14,90.92,108.8
2169,85,90.8,108.82
2168,84.92,91,108.69
2167,85.27,91.15,108.81
2166,85.29,90.92,108.69
2165,85.19,90.82,108.59
2164,84.93,90.92,108.75
2163,85.28,91.17,108.72
2162,85.32,91.1,108.63
2161,85.29,91.33,108.96
2160,85.16,90.96,108.94
2159,85.02,90.89,109.09
2158,85.03,90.83,108.8
2157,85.19,91.18,108.76
2156,85.13,91.14,108.82
2155,85.06,90.97,108.85
2154,85.16,91.17,108.64
2153,85.19,91.14,108.85
2152,85.27,91.08,108.92
2151,85.17,91.02,108.78
2150,84.97,90.87,108.9
2149,84.96,91.02,108.97
2148,85.17,91.18,108.98
2147,85.14,90.99,108.85
2146,85.07,90.9,108.77
2145,84.93,91.03,109.14
2144,85.03,90.95,108.86
2143,85.24,90.97,108.81
2142,85.12,91.05,108.8
2141,85.03,91.01,109
2140,84.98,91.01,108.97
2139,85.01,90.89,108.88
2138,85.05,91,108.93
