wavenumber,P88812Cl,P88812NO3,NaNO3
3789,86.46,92.32,106.07
3788,86.48,92.36,106.06
3787,86.52,92.42,105.98
3786,86.59,92.44,105.95
3785,86.57,92.47,105.9
3784,86.48,92.35,105.94
3783,86.45,92.31,105.99
3782,86.51,92.45,105.93
3781,86.77,92.61,105.85
3780,86.68,92.72,105.67
3779,86.47,92.51,105.85
3778,86.44,92.27,105.96
3777,86.44,92.31,105.98
3776,86.41,92.26,106.07
3775,86.41,92.3,106.07
3774,86.44,92.29,106.09
3773,86.48,92.33,106.03
3772,86.62,92.56,105.81
3771,86.87,92.84,105.73
3770,86.76,92.74,105.63
3769,86.52,92.47,105.76
3768,86.52,92.41,105.88
3767,86.82,92.62,105.73
3766,86.67,92.65,105.67
3765,86.53,92.44,105.82
3764,86.47,92.3,105.98
3763,86.46,92.32,105.98
3762,86.55,92.48,105.91
3761,86.83,92.8,105.78
3760,86.73,92.81,105.58
3759,86.68,92.65,105.6
3758,86.73,92.49,105.75
3757,86.65,92.61,105.68
3756,86.54,92.52,105.84
3755,86.63,92.46,105.84
3754,87.22,93.16,105.18
3753,87.65,93.5,104.96
3752,87.51,93.32,105.13
3751,87.63,93.22,104.65
3750,87.53,93.41,104.7
3749,87.18,92.94,105.29
3748,86.7,92.57,105.43
3747,86.93,92.95,105.2
3746,88.06,93.78,104.81
3745,88.34,94.2,104.19
3744,87.26,93.09,105.01
3743,86.71,92.56,105.37
3742,86.67,92.49,105.63
3741,86.67,92.49,105.78
3740,86.72,92.53,105.79
3739,86.71,92.74,105.65
3738,87.1,92.93,105.37
3737,87.59,93.39,104.87
3736,87.66,93.68,104.56
3735,87.31,93.05,105.02
3734,87.19,92.92,105
3733,87,92.85,105.3
3732,86.87,92.75,105.59
3731,86.49,92.37,105.79
3730,86.47,92.34,105.96
3729,86.54,92.37,105.94
3728,86.75,92.57,105.73
3727,86.91,92.74,105.5
3726,86.85,92.66,105.67
3725,86.72,92.47,105.79
3724,86.82,92.64,105.56
3723,86.76,92.65,105.72
3722,86.69,92.55,105.81
3721,86.54,92.41,105.82
3720,86.61,92.47,105.86
3719,86.62,92.42,105.92
3718,86.49,92.34,105.99
3717,86.46,92.33,106.04
3716,86.56,92.42,105.94
3715,86.62,92.47,105.85
3714,87.02,92.87,105.48
3713,87.25,93.22,105.39
3712,87.11,93.07,105.42
3711,86.98,92.74,105.3
3710,86.76,92.76,105.46
3709,86.53,92.47,105.81
3708,86.45,92.26,105.94
3707,86.45,92.26,106.04
3706,86.47,92.27,106.08
3705,86.45,92.27,106.13
3704,86.53,92.45,106
3703,86.76,92.68,105.87
3702,86.7,92.64,105.71
3701,86.5,92.42,105.9
3700,86.42,92.19,106.13
3699,86.44,92.25,106.08
3698,86.43,92.23,106.15
3697,86.49,92.31,106.08
3696,86.43,92.27,106.15
3695,86.44,92.23,106.12
3694,86.46,92.33,106.11
3693,86.76,92.62,105.78
3692,86.87,92.96,105.57
3691,86.77,92.87,105.55
3690,87.31,92.97,105.12
3689,87.38,93.09,105.05
3688,86.91,92.64,105.6
3687,86.37,92.16,105.85
3686,86.35,92.16,105.98
3685,86.34,92.1,106.11
3684,86.29,92.18,106.13
3683,86.22,92.1,106.17
3682,86.24,92.18,106.11
3681,86.36,92.29,106
3680,86.28,92.44,105.86
3679,86.21,92.37,105.89
3678,86.53,92.65,105.52
3677,87.24,93.51,105.11
3676,87.48,93.61,104.98
3675,86.7,92.95,105.02
3674,86.21,92.32,105.6
3673,86.37,92.3,105.66
3672,86.97,92.83,105.39
3671,87.18,93.15,105.09
3670,87.03,92.98,105.23
3669,86.53,92.53,105.5
3668,86.35,92.31,105.78
3667,86.2,92.06,106.12
3666,86.3,92.14,106.1
3665,86.28,92.15,106.22
3664,86.32,92.21,106.19
3663,86.3,92.19,106.18
3662,86.32,92.18,106.17
3661,86.34,92.22,106.18
3660,86.35,92.23,106.16
3659,86.37,92.3,106.11
3658,86.74,92.65,105.75
3657,86.94,92.88,105.55
3656,86.67,92.57,105.86
3655,86.39,92.21,105.98
3654,86.4,92.31,106.06
3653,86.72,92.63,105.78
3652,87.05,93.2,105.4
3651,87.39,93.56,104.81
3650,87.47,93.36,104.83
3649,87.37,93.2,104.99
3648,87.13,93.01,104.95
3647,86.79,92.76,105.41
3646,86.52,92.22,105.85
3645,86.35,92.23,106.05
3644,86.41,92.22,106.13
3643,86.44,92.31,106.06
3642,86.43,92.27,106.14
3641,86.37,92.22,106.22
3640,86.38,92.23,106.18
3639,86.42,92.27,106.17
3638,86.36,92.23,106.21
3637,86.33,92.17,106.18
3636,86.4,92.33,106.11
3635,86.57,92.42,106.06
3634,86.53,92.39,105.99
3633,86.45,92.32,106.07
3632,86.49,92.38,106.03
3631,87.09,92.99,105.44
3630,87.61,93.67,104.68
3629,87.51,93.41,104.9
3628,86.78,92.51,105.61
3627,86.51,92.23,105.8
3626,86.38,92.2,106.06
3625,86.35,92.1,106.22
3624,86.3,92.19,106.26
3623,86.39,92.23,106.18
3622,86.5,92.5,106.02
3621,86.88,92.8,105.69
3620,86.99,92.9,105.38
3619,86.85,92.75,105.53
3618,86.67,92.45,105.69
3617,86.52,92.38,105.87
3616,86.52,92.33,106.03
3615,86.72,92.59,105.75
3614,86.82,92.66,105.68
3613,86.74,92.58,105.62
3612,86.54,92.37,105.91
3611,86.62,92.37,105.81
3610,86.87,92.73,105.55
3609,86.79,92.58,105.74
3608,86.63,92.39,105.81
3607,86.52,92.36,105.94
3606,86.41,92.12,106.12
3605,86.27,92.12,106.25
3604,86.33,92.12,106.28
3603,86.38,92.24,106.19
3602,86.43,92.28,106.14
3601,86.4,92.3,106.11
3600,86.44,92.24,106.1
3599,86.37,92.26,106.18
3598,86.37,92.21,106.19
3597,86.46,92.35,105.98
3596,86.55,92.43,105.97
